id_registro,raw_text_id,data_contato,hora_contato,nome,telefone,bairro,referencia_local,tipo_demanda,descricao_curta,prioridade_percebida,consentimento_comunicacao,fonte,confianca_global,flags,revisado,timestamp_processamento,timestamp_captura,agente_id,texto_original,latitude,longitude
1,1,2025-07-18,22:55,Maria Silva,+5511999998888,,Esquina da Rua A com Rua B na Praça Central,BUEIRO,"Bueiro entupido na esquina da Rua A com Rua B na Praça Central, com crianças passando",ALTA,True,texto_digitado,0.708,,False,2025-07-18 23:14:16.227780,2025-07-18 22:55:35.099481,7632684980,"Hoje 18/07 falei com Maria Silva na Praça Central, bueiro entupido na esquina da Rua A com Rua B, telefone 11 99999-8888, urgente porque tem crianças passando",,
2,2,,,,,,,,,,,texto_digitado,0.0,,False,2025-07-18 23:14:16.269915,2025-07-18 22:57:37.333064,7632684980,teste test,,
3,3,2025-07-18,,Joao da Silva,,,,,,,False,texto_digitado,0.225,,False,2025-07-18 23:14:16.293021,2025-07-18 22:58:54.530451,7632684980,hoje falei com joao da silva,,
4,4,2025-07-16,,Flavinho,+5511999998888,,Esquina da Rua x com Rua y na Praça da seh,BUEIRO,Bueiro entupido na esquina da Rua x com Rua y na Praça da seh,BAIXA,False,texto_digitado,0.708,,False,2025-07-18 23:45:27.736040,2025-07-18 23:30:19.093477,7632684980,"16/07 falei com flavinho do pneu na Praça da seh, bueiro entupido na esquina da Rua x com Rua y, telefone 11 99999-8888, pouco urgente pq eh transito normal",,
5,5,2025-04-15,,Shaolin Matador de Porco,+5511999998888,Liberdade,Esquina da Rua J com Rua Z,BUEIRO,Bueiro entupido na esquina da Rua J com Rua Z para dificultar a vida dos porcos,ALTA,True,texto_digitado,0.92,,False,2025-07-18 23:45:27.766901,2025-07-18 23:44:02.674911,7632684980,"15/04 falei com shaolin matador de porco na liberdade, bueiro entupido na esquina da Rua j com Rua z, telefone 11 99999-8888, urgente eh pra dificultar a vida dos porcos",,
6,6,2025-07-17,20:00,Carlos,+5521987654321,Vila Nova,Rua das Palmeiras 123,ILUMINACAO,"Lâmpada queimada na Rua das Palmeiras 123, com crianças estudando à noite",ALTA,True,texto_digitado,0.925,,False,2025-07-18 23:54:19.909739,2025-07-18 23:54:19.446268,test_user_123,"Ontem à noite falei com Sr. Carlos no bairro Vila Nova, lâmpada queimada na Rua das Palmeiras 123, telefone 21 98765-4321, ele disse que é urgente pois tem crianças estudando à noite",,
7,7,2025-07-10,,Vinicius,+5511999998887,Vergueiro,Rua Castro Alves,PODA,Árvore precisa de poda na Rua Castro Alves,BAIXA,,texto_digitado,0.92,,False,2025-07-19 00:05:20.025780,2025-07-18 23:57:33.883046,7632684980,"10/12 falei com  vinicius na vergueiro, arvore precisa de poda na rua castro alves telefone 11 99999-8887, pouco urgente mas precisa de prazo",,
8,8,2025-07-12,,Vinicius,+5511999998877,,Vergueiro,ARVORE,Árvore precisa de tratamento na Rua José de Alencar,BAIXA,,texto_digitado,0.708,,False,2025-07-19 00:05:20.057965,2025-07-19 00:02:36.871183,7632684980,"11/12 falei com  vinicius na vergueiro, arvore precisa de tratamento na rua jose de alencar telefone 11 99999-8877, pouco urgente",,
9,9,2025-12-09,,Gabriel,+55119999988555,Saúde,Rua Gomes da Costa,PODA,Árvore precisa de poda na Rua Gomes da Costa com risco de queda iminente,ALTA,,texto_digitado,0.92,,False,2025-07-19 00:14:42.599560,2025-07-19 00:10:57.876007,7632684980,"09/12 falei com  Gabriel na saude, arvore precisa de poda na rua gomes da costa telefone 11 99999-88555, risco de queda iminente",,
10,10,2025-12-08,,Marcos,+55119999988333,Paraiso,Rua dos Alfeneiros,PODA,Alagamento precisa de poda na Rua dos Alfeneiros com risco de afogamento,ALTA,True,texto_digitado,0.92,,False,2025-07-19 00:23:44.375512,2025-07-19 00:19:53.962675,7632684980,"08/12 falei com  Marcos no paraiso, alagamento precisa de poda na rua dos alfeneiros telefone 11 99999-88333, risco de afogamento",,
11,11,2025-07-19,00:29,José,,,Rua Piassanguaba,BURACO,Buraco na rua Piassanguaba,MEDIA,False,texto_digitado,0.463,,False,2025-07-19 00:36:05.230891,2025-07-19 00:29:42.962356,7632684980,hoje jose buraco na rua piassanguaba,,
